opinions/0/sentiment,opinions/0/aspect,opinions/0/target_entity,id,text,opinions/1/sentiment,opinions/1/aspect,opinions/1/target_entity,opinions/2/sentiment,opinions/2/aspect,opinions/2/target_entity,opinions/3/sentiment,opinions/3/aspect,opinions/3/target_entity,opinions/4/sentiment,opinions/4/aspect,opinions/4/target_entity,opinions/5/sentiment,opinions/5/aspect,opinions/5/target_entity,opinions/6/sentiment,opinions/6/aspect,opinions/6/target_entity,opinions/7/sentiment,opinions/7/aspect,opinions/7/target_entity,opinions/8/sentiment,opinions/8/aspect,opinions/8/target_entity,opinions/9/sentiment,opinions/9/aspect,opinions/9/target_entity
Negative,safety,LOCATION1,949,"  I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,72,  I lived in LOCATION1 for 6 months and adored it,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,995,  I lived in LOCATION1 from birth to 23 years very near to the Arsenal Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,61,  I really like LOCATION1  I lived there for 3 months and had a lot of fun,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1218,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube",Positive,transit-location,LOCATION1,Positive,shopping,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1406,  I think LOCATION1 is your best bet ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2549,"  I was born in LOCATION2 I am a cockney,my father was born along the LOCATION1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,51,  I would rather live in LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,2623,  I would say either LOCATION1 or LOCATION2 if you have the money,Negative,price,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1477,  I would suggest LOCATION1 as a pretty good area,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2381,  I'd stay away from LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,2147,  I've never lived in LOCATION1 but know it reasonably well and would say it's an OK place to live,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,127,"  If I had the money, I would live near LOCATION1  ",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,713,"  If you are thinking South London, try LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,771,  It does not make that much difference if you fly into Gatwick or LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2375,  It would be worth you looking around LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,2276,"  LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK ",Negative,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1979,"  LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2028,  LOCATION1 aint too bad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2685,  LOCATION1 and LOCATION2 are the better area of West and Southwest London,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2798,  LOCATION1 and LOCATION2 areas are nice i think,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,738,  LOCATION1 attract many immigrants as it's cheaper,Positive,multicultural,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,1555,  LOCATION1 cheap and lovely people,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,green-nature,LOCATION1,1173,"  LOCATION1 even has a lovely big park, so you can go for walks etc  good luck",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,multicultural,LOCATION1,453,  LOCATION1 has a very large Jewish population,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,721,"  LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,623,"  LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London  ",Negative,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,730,  LOCATION1 is a good place to live with a major rail station,Positive,live,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,49,  LOCATION1 is a mainly Indian area but it very safe - lots of families with children,Positive,multicultural,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,737,  LOCATION1 is a nice suburb of LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,touristy,LOCATION1,2494,"  LOCATION1 is a safe area you will see a lot of tourists, sexy ladies",Positive,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2301,"  LOCATION1 is a trendy, very edgy area with lots of live music venues",Positive,nightlife,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,363,"  LOCATION1 is all druggies,  and tourists,",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1992,  LOCATION1 is good,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,715,  LOCATION1 is good  and not too shabby,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,1724,  LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,337,  LOCATION1 is just about okay,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2865,  LOCATION1 is lovely and LOCATION2 (as others have said),Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,136,  LOCATION1 is more expensive (London) but is good for some of the local schools,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,shopping,LOCATION1,2475,"  LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2084,  LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character,Positive,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,339,  LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,2469,  LOCATION1 is one of the ruffest places in London,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1770,  LOCATION1 is pretty bad with its stabbings muggings and general filth of the place ,Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1514,  LOCATION1 is quite a nice area,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,1903,"  LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,505,  LOCATION1 is the best by a long shot,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,142,"  LOCATION1 is the place, I love it",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,870,  LOCATION1 is very suburban,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,touristy,LOCATION1,2004,  LOCATION1 is worth a visit if you are going in the spring or summer time,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1484,  LOCATION1 isn't bad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,2573,"  LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2",Negative,safety,LOCATION2,Positive,multicultural,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1940,"  LOCATION1 would be pretty good, it's a laid back spot and mostly locals",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1646,  LOCATION1's a hole,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,803,  LOCATION1's a lovely town but very expensive,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,2332,  LOCATION1's a very central area close to LOCATION1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1401,  LOCATION1's nice and quite quiet,Positive,quiet,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION2,2921,  LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,Positive,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,674,  London is so diverse there are no racist areas  I live in LOCATION1 and have never had any problems,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1338,  Lots of the better areas are expensive and definitely LOCATION1,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,208,  Off course LOCATION1 is most safest place of Central London,Positive,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,2479,"  Oh LOCATION1 for me without a doubt, I've always said I would love to live there",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,2734,"  The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London",Negative,price,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,760,  The Nobility live in townhouses in LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1605,  The area South of LOCATION1  is also good,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,2784,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable",Positive,green-nature,LOCATION2,Positive,green-nature,LOCATION1,Positive,general,LOCATION2,Positive,general,LOCATION1,Positive,price,LOCATION2,,,,,,,,,,,,
Positive,price,LOCATION1,509,  The cheapest area of London is LOCATION1 (DA18),,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,touristy,LOCATION1,1155,  There's one place you must visit here in London - LOCATION1 and it's markets,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1648,  Think most of the marketing agencies of London are located in and around LOCATION1 - it's also where most of the advertising companies locate to as well ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2208,  Try LOCATION1 or nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1274,"  Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London",Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,3002,  Try searching in  LOCATION1 or LOCATION2,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,517,  You may want to consider LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,2352,  You will not find anywhere near London much cheaper than LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,quiet,LOCATION1,429,  area around LOCATION1 in very multi-cultural and it is a very busy area,Positive,multicultural,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,2042,"  depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble",Negative,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,14,  i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,885,"  i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether",Positive,quiet,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,660,  if you google victorian LOCATION1 you'll come up with a host of information you can also check it out on streetmap,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,live,LOCATION1,971,"  just dont live in LOCATION1, you'll regret it",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,472,  just go to LOCATION1 and you'll be in the centre of London,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2932,  really nice area is LOCATION2 or LOCATION1,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2092,  try somewhere round LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2763, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,Positive,dining,LOCATION2,Positive,dining,LOCATION1,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1268," (try LOCATION1, if you haven't already seen it",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2938," , LOCATION2 and LOCATION1 might be good for you",Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
,,,801, Actually what I found is that LOCATION1 is in Sureey but in all other ptactical means it IS part of London/in London,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION2,2690, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,Positive,safety,LOCATION2,Positive,safety,LOCATION1,Negative,transit-location,LOCATION1,Negative,transit-location,LOCATION2,Positive,price,LOCATION1,,,,,,,,,,,,
Positive,general,LOCATION1,2719," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts",Positive,transit-location,LOCATION1,Positive,transit-location,LOCATION2,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1093," As long as you can afford to live in LOCATION1, it's way nicer (:",Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,27, Avoid LOCATION1 - it's super pricey,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1498, Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London),Negative,safety,LOCATION1,Positive,nightlife,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1546," Crossrail mainline link between LOCATION1, central London and north Kent",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1070," For the most part, LOCATION1 is a nice area",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,736," Further development of the Royal Docks area, including the LOCATION1 Quays project",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1271," Getting to the London from LOCATION1 is easy , buses go every few minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2800, Hmm LOCATION1 and LOCATION2 are improving areas,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,2047, However you're unlikely to find anything decent and cheap in LOCATION1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,380, I Live in LOCATION1 which is close to the center of town and is very nice in my opinion,Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,nightlife,LOCATION1,2888, I also like LOCATION1 and LOCATION2 for going out,Positive,nightlife,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,135," I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,588, I come from south London and really want to no why so many people think cockneys only come from LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,live,LOCATION1,1551," I currently live in a very street, depressing, hood area of LOCATION1",Negative,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,price,LOCATION1,1310, I do love LOCATION1 but unfortunately due to the increase in rent I will moving further out,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1323, I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,411, I don't know much about LOCATION2 or LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,755, I feel safer in LOCATION1 than I do in LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2724, I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it ,Positive,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION2,2934, I got my flat broken into in LOCATION1 but never in LOCATION2 area,Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
,,,466, I have a friend that lives in a small place called LOCATION1 and it comes under LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,1785, I have heard from some friends that LOCATION1 and places nearby are quite dangerous to live in due to the high criminal cases,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,1248, I have lived in LOCATION1 for 25 years and it's now one the most safest places to live,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,231, I have personally had no major problems while in LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2," I have the chance to move to E16 1TX area, it is West LOCATION1",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,351, I just know that I definitely don't want to live in LOCATION1 as it's the most dangerous  ,Negative,live,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,live,LOCATION1,1661," I know LOCATION1 well, I'm afraid I wouldn't choose to live there either ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,1666, I live in LOCATION1 and can't even walk across the road to the shop without feeling overly warey  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,1388, I live in LOCATION1 but I've been here seven years and never had a minute's trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,live,LOCATION1,1348, I live in LOCATION1 which is quite boring ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2612, I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol,Positive,live,LOCATION2,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,1701, I live in LOCATION2 but Id rather live in LOCATION1  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1071, I live near the m25 next to the LOCATION1 bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1287, I must say LOCATION1 is one of my favorite places and i'd love to live there,Positive,live,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,multicultural,LOCATION2,2747, I prefer to live in an area where there are more English people (like where I live now in LOCATION2) or where there are a variety of different cultures (like LOCATION1),Positive,multicultural,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2720, I recommend LOCATION1 or perhaps LOCATION2,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,1324, I spent a semester abroad in LOCATION1 right around the imperial college I would imagine that area would be greatly expensive but it was a great place to live  ,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,487, I sure as hell wouldn't wanna be stuck in a shithole like bloody LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2697," I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact",Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,2773," I think LOCATION2 is a pretty good place to live and you're unlikely to have any problems I'm living in LOCATION1, yeah it's a safe area, ",Positive,safety,LOCATION2,Positive,live,LOCATION2,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1288, I think the farthest out in essex to be close to London would be LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1531," I used to live in a rented appartment in LOCATION1 during my ""rocking days"" and links into the centre are fast and frequent by tube ""underground railway""",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1722," I was born and bred down in LOCATION1, (and I lived down there for twenty-eight years, man and boy), ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,price,LOCATION1,2655," I will recommend to you areas like LOCATION1, LOCATION2, they have a high Asian population and it is fairly affordable to live there",Positive,multicultural,LOCATION1,Positive,multicultural,LOCATION2,Positive,price,LOCATION2,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,2891," I would hardly call LOCATION1 or LOCATION2 rough  Well, in all honestly there are ""rough"" parts in every area in London",Positive,safety,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Negative,live,LOCATION1,2855, I would never want to live somewhere like LOCATION1 or anywhere in LOCATION2 as I would never get any sleep,Negative,quiet,LOCATION2,Negative,quiet,LOCATION1,Negative,live,LOCATION2,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,617, I would pick LOCATION1 as it is the furthest in the center giving you so much things to do,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,768, I would really recommend LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2219, I would say LOCATION1 but it may exceed your budget by a little but it is worth the move,Negative,price,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1757," I would say with the massive increase in supply around the area, and the amount of security they have LOCATION1 is your best bet  Don't waste your money",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION2,2726, I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived,Negative,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,306, I would strongly recommend flats in the LOCATION1 as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION2,2804," I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London",Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2999, I would suggest looking at the area around LOCATION2 or LOCATION1,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1597, I'd recommend LOCATION1 and you could easily connect onto the piccadilly line no problem and its cheaper than most areas in London,Positive,price,LOCATION1,Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2714, I'd recommend LOCATION2 or LOCATION1,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,270, I've been LOCATION1 a few times and I've never been bothered,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1868," I've been offered a job in LOCATION1 (LOCATION2) and am looking for somewhere to live, I've found loads of accomodation within my price range",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION2,2644, I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight,Negative,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,744, I've lived in the LOCATION1 for years and I love it - I wouldn't want to live anywhere else,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,2273," I've never been to LOCATION1 - due to its reputation, mostly",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,405," I've seen breeders with puppies in LOCATION1, Daventry, 3 in Kent and one in St Neots - and that was just the first page",,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1731, I've spent a lot of time in LOCATION1 and can confirm it's generally quite a deprived area and certainly not that safe after dark,Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
