OriginalText,Location1,Aspect1,Sentiment1,Location2,Aspect2,Sentiment2,MaskedText,LocationsInText
I have friends living in Suffolk and love it,Suffolk,live,1,Suffolk,general,1,  I have friends living in LOCATION1 and love it,"[('Suffolk', 'GPE')]"
I have heard that Hertfordshire is the place to live in London,Hertfordshire,live,1,,,0,  I have heard that LOCATION1 is the place to live in London ,"[('Hertfordshire', 'GPE'), ('London', 'GPE')]"
I liv in Cornwall in West Midlands which is a place where a lot of violence happens wiv gangs e,Cornwall,safety,0,,,0,  I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,"[('Cornwall', 'GPE'), ('West Midlands', 'GPE')]"
I live in Lincolnshire and I cant say I recommend it,Lincolnshire,general,1,Lincolnshire,live,1,  I live in LOCATION1 and I cant say I recommend it,"[('Lincolnshire', 'GPE')]"
I live in Cheshire been here 11 years with no problems,Cheshire,safety,1,,,0,"  I live in LOCATION1, been here 11 years with no problems","[('Cheshire', 'GPE')]"
I live in Greater Manchester theres great access to transport some great pubs beautiful houses in some areas good schools,Greater Manchester,nightlife,1,Greater Manchester,transit-location,1,"  I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools","[('Greater Manchester', 'GPE')]"
I lived in Derbyshire for ten years it was rough  it was sooo close to the centre of town but so cheap,Derbyshire,safety,0,,,0,"  I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap","[('Derbyshire', 'GPE')]"
I lived in Greater London for 6 months and adored it,Greater London,live,1,Greater London,general,1,  I lived in LOCATION1 for 6 months and adored it,"[('Greater London', 'GPE')]"
I really like Devon I lived there for 3 months and had a lot of fun,Devon,live,1,,,0,  I really like LOCATION1  I lived there for 3 months and had a lot of fun,"[('Devon', 'GPE')]"
I really love Nottinghamshire There are some beautiful houses in the conservation area there is Broadway Market and its on the tube,Nottinghamshire,general,1,Nottinghamshire,transit-location,1,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube","[('Nottinghamshire', 'GPE'), ('Broadway Market', 'GPE')]"
I think Lincolnshire is your best bet,Lincolnshire,general,1,,,0,  I think LOCATION1 is your best bet ,"[('Lincolnshire', 'GPE')]"
I would rather live in Staffordshire,Staffordshire,live,1,,,0,  I would rather live in LOCATION1,"[('Staffordshire', 'GPE')]"
I would say either Gloucestershire or West Yorkshire if you have the money,Gloucestershire,price,0,West Yorkshire,price,0,  I would say either LOCATION1 or LOCATION2 if you have the money,"[('Gloucestershire', 'GPE'), ('West Yorkshire', 'GPE')]"
I would suggest Nottinghamshire as a pretty good area,Nottinghamshire,general,1,,,0,  I would suggest LOCATION1 as a pretty good area,"[('Nottinghamshire', 'GPE')]"
Id stay away from West Midlands,West Midlands,general,0,,,0,  I'd stay away from LOCATION1,"[('West Midlands', 'GPE')]"
Ive never lived in Surrey but know it reasonably well and would say its an OK place to live,Surrey,live,1,,,0,  I've never lived in LOCATION1 but know it reasonably well and would say it's an OK place to live,"[('Surrey', 'GPE')]"
If I had the money I would live near Nottinghamshire,Nottinghamshire,live,1,Nottinghamshire,price,0,"  If I had the money, I would live near LOCATION1  ","[('Nottinghamshire', 'GPE')]"
If you are thinking South London try Merseyside,Merseyside,general,1,,,0,"  If you are thinking South London, try LOCATION1","[('South London', 'GPE'), ('Merseyside', 'GPE')]"
It would be worth you looking around Northamptonshire,Northamptonshire,general,1,,,0,  It would be worth you looking around LOCATION1,"[('Northamptonshire', 'GPE')]"
West Yorkshire is traditionally not a wealthy area in fact it is amongst the poorest areas in the entire UK,West Yorkshire,price,1,West Yorkshire,general,0,"  LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK ","[('West Yorkshire', 'GPE')]"
Gloucestershire  pronounced Gren Itch is a lovely town but parts of it can be very expensive,Gloucestershire,general,1,Gloucestershire,price,0,"  LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive","[('Gloucestershire', 'GPE')]"
Derbyshire aint too bad,Derbyshire,general,0,,,0,  LOCATION1 aint too bad,"[('Derbyshire', 'GPE')]"
Tyne and Wear and Merseyside are the better area of West and Southwest London,Merseyside,general,1,Tyne and Wear,general,1,  LOCATION1 and LOCATION2 are the better area of West and Southwest London,"[('Tyne and Wear', 'GPE'), ('Merseyside', 'GPE'), ('Southwest London', 'GPE')]"
Greater Manchester and Durham areas are nice i think,Durham,general,1,Greater Manchester,general,1,  LOCATION1 and LOCATION2 areas are nice i think,"[('Greater Manchester', 'GPE')]"
Leicestershire attract many immigrants as its cheaper,Leicestershire,price,1,Leicestershire,multicultural,1,  LOCATION1 attract many immigrants as it's cheaper,"[('Leicestershire', 'GPE')]"
Leicestershire cheap and lovely people,Leicestershire,price,1,,,0,  LOCATION1 cheap and lovely people,"[('Leicestershire', 'GPE')]"
Norfolk even has a lovely big park so you can go for walks etc good luck,Norfolk,green-nature,1,,,0,"  LOCATION1 even has a lovely big park, so you can go for walks etc  good luck","[('Norfolk', 'GPE')]"
South Yorkshire has a very large Jewish population,South Yorkshire,multicultural,1,,,0,  LOCATION1 has a very large Jewish population,"[('South Yorkshire', 'GPE')]"
Dorset has become a bit more upmarket in recent years and its not too bad as a place,Dorset,general,1,,,0,"  LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place","[('Dorset', 'GPE')]"
Kent in Kent might be suitable but its more than 30 minutes to Central London,Kent,general,1,Kent,transit-location,0,"  LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London  ","[('Kent', 'GPE'), ('Central London', 'GPE')]"
Devon is a good place to live with a major rail station,Devon,transit-location,1,Devon,live,1,  LOCATION1 is a good place to live with a major rail station,"[('Devon', 'GPE')]"
Cumbria is a mainly Indian area but it very safe  lots of families with children,Cumbria,safety,1,Cumbria,multicultural,1,  LOCATION1 is a mainly Indian area but it very safe - lots of families with children,"[('Cumbria', 'GPE')]"
Hertfordshire is a nice suburb of Hertfordshire,Hertfordshire,general,1,,,0,  LOCATION1 is a nice suburb of LOCATION1,"[('Hertfordshire', 'GPE'), ('Hertfordshire', 'GPE')]"
Norfolk is a safe area you will see a lot of tourists sexy ladies,Norfolk,touristy,1,Norfolk,safety,1,"  LOCATION1 is a safe area you will see a lot of tourists, sexy ladies","[('Norfolk', 'GPE')]"
West Midlands is a trendy very edgy area with lots of live music venues,West Midlands,general,1,West Midlands,nightlife,1,"  LOCATION1 is a trendy, very edgy area with lots of live music venues","[('West Midlands', 'GPE')]"
Hertfordshire is all druggies and tourists,Hertfordshire,safety,0,,,0,"  LOCATION1 is all druggies,  and tourists,","[('Hertfordshire', 'GPE')]"
Lancashire is good,Lancashire,general,1,,,0,  LOCATION1 is good,"[('Lancashire', 'GPE')]"
Bristol is good and not too shabby,Bristol,general,1,,,0,  LOCATION1 is good  and not too shabby,"[('Bristol', 'GPE')]"
Lancashire is in the east of London and is one of the more affordable parts of the London to live,Lancashire,price,1,,,0,  LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,"[('Lancashire', 'GPE')]"
Herefordshire is just about okay,Herefordshire,general,1,,,0,  LOCATION1 is just about okay,"[('Herefordshire', 'GPE')]"
Cumbria is lovely and South Yorkshire as others have said,South Yorkshire,general,1,Cumbria,general,1,  LOCATION1 is lovely and LOCATION2 (as others have said),"[('Cumbria', 'GPE'), ('South Yorkshire', 'GPE')]"
Cambridgeshire is more expensive London but is good for some of the local schools,Cambridgeshire,price,0,,,0,  LOCATION1 is more expensive (London) but is good for some of the local schools,"[('Cambridgeshire', 'GPE')]"
Cheshire is more expensive but if you are after lots of shops cafes etc theres more to offer,Cheshire,shopping,1,Cheshire,price,0,"  LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer","[('Cheshire', 'GPE')]"
Merseyside is not dangerous but it is an ugly jumble of concrete with no character,Merseyside,general,0,Merseyside,safety,1,  LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character,"[('Merseyside', 'GPE')]"
Merseyside is one of the most affluent areas and offers a much nicer environment to live than south of the river,Merseyside,live,1,Merseyside,price,0,  LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river,"[('Merseyside', 'GPE')]"
Surrey is one of the ruffest places in London,Surrey,safety,0,,,0,  LOCATION1 is one of the ruffest places in London,"[('Surrey', 'GPE'), ('London', 'GPE')]"
Shropshire is pretty bad with its stabbings muggings and general filth of the place,Shropshire,general,0,Shropshire,safety,0,  LOCATION1 is pretty bad with its stabbings muggings and general filth of the place ,"[('Shropshire', 'GPE')]"
Essex is quite a nice area,Essex,general,1,,,0,  LOCATION1 is quite a nice area,"[('Essex', 'GPE')]"
North Yorkshire is safe you will hear noisy drunks at 1 am anywhere,North Yorkshire,safety,1,,,0,"  LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere  ","[('North Yorkshire', 'GPE')]"
Herefordshire is the best by a long shot,Herefordshire,general,1,,,0,  LOCATION1 is the best by a long shot,"[('Herefordshire', 'GPE')]"
Durham is the place I love it,Durham,general,1,,,0,"  LOCATION1 is the place, I love it","[('Durham', 'GPE')]"
Norfolk is worth a visit if you are going in the spring or summer time,Norfolk,touristy,1,,,0,  LOCATION1 is worth a visit if you are going in the spring or summer time,"[('Norfolk', 'GPE')]"
Dorset is not bad,Dorset,general,1,,,0,  LOCATION1 isn't bad,"[('Dorset', 'GPE')]"
West Yorkshire is not that bad its a vibrant and diverse place which does have crime but so does Warwickshire,West Yorkshire,safety,0,Warwickshire,safety,0,"  LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2","[('West Yorkshire', 'GPE'), ('Warwickshire', 'GPE')]"
Warwickshire would be pretty good its a laid back spot and mostly locals,Warwickshire,general,1,,,0,"  LOCATION1 would be pretty good, it's a laid back spot and mostly locals","[('Warwickshire', 'GPE')]"
Tyne and Wears a hole,Tyne and Wear,general,0,,,0,  LOCATION1's a hole,"[('Tyne and Wears', 'GPE')]"
Greater Manchesters a lovely town but very expensive,Greater Manchester,general,1,Greater Manchester,price,0,  LOCATION1's a lovely town but very expensive,"[('Greater Manchesters', 'GPE')]"
Rutlands a very central area close to Rutland,Rutland,transit-location,1,,,0,  LOCATION1's a very central area close to LOCATION1 ,"[('Rutlands', 'GPE'), ('Rutland', 'GPE')]"
West Sussexs nice and quite quiet,West Sussex,general,1,West Sussex,quiet,1,  LOCATION1's nice and quite quiet,"[('West Sussexs', 'GPE')]"
North Yorkshire and Cornwall are the cheapest or are you talking about the real world,North Yorkshire,price,1,Cornwall,price,1,  LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,"[('North Yorkshire', 'GPE'), ('Cornwall', 'GPE')]"
London is so diverse there are no racist areas I live in Bedfordshire and have never had any problems,Bedfordshire,safety,1,,,0,  London is so diverse there are no racist areas  I live in LOCATION1 and have never had any problems,"[('London', 'GPE'), ('Bedfordshire', 'GPE')]"
Lots of the better areas are expensive and definitely Shropshire,Shropshire,general,1,Shropshire,price,0,  Lots of the better areas are expensive and definitely LOCATION1,"[('Shropshire', 'GPE')]"
Off course Rutland is most safest place of Central London,Rutland,transit-location,1,Rutland,safety,1,  Off course LOCATION1 is most safest place of Central London,"[('Rutland', 'GPE'), ('Central London', 'GPE')]"
Oh Rutland for me without a doubt Ive always said I would love to live there,Rutland,live,1,,,0,"  Oh LOCATION1 for me without a doubt, I've always said I would love to live there","[('Rutland', 'GPE')]"
The CornwallWest Sussex area is very expensive probably the most expensive in London,Cornwall,price,0,West Sussex,price,0,"  The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London","[('CornwallWest Sussex', 'GPE'), ('London', 'GPE')]"
The Nobility live in townhouses in Bristol,Bristol,price,0,,,0,  The Nobility live in townhouses in LOCATION1,"[('Bristol', 'GPE')]"
The area South of Greater Manchester is also good,Greater Manchester,general,1,,,0,  The area South of LOCATION1  is also good,"[('Greater Manchester', 'GPE')]"
The area around Greater London and Cambridgeshire stations is very nice leafy and green and affordable,Greater London,price,1,Cambridgeshire,green-nature,1,"  The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable","[('Greater London', 'GPE'), ('Cambridgeshire', 'GPE')]"
The cheapest area of London is Wiltshire DA18,Wiltshire,price,1,,,0,  The cheapest area of London is LOCATION1 (DA18),"[('London', 'GPE'), ('Wiltshire DA18', 'GPE')]"
Theres one place you must visit here in London  Isle of Wight and its markets,Isle of Wight,touristy,1,,,0,  There's one place you must visit here in London - LOCATION1 and it's markets,"[('London', 'GPE'), ('Isle of Wight', 'GPE')]"
Try Staffordshire or nearby,Staffordshire,general,1,,,0,  Try LOCATION1 or nearby,"[('Staffordshire', 'GPE')]"
Try Derbyshire it has great transport connections and has had a lot of development in the last few years west London,Derbyshire,general,1,Derbyshire,transit-location,1,"  Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London","[('Derbyshire', 'GPE')]"
Try searching in Norfolk or Dorset,Dorset,general,1,Norfolk,general,1,  Try searching in  LOCATION1 or LOCATION2,"[('Norfolk', 'GPE'), ('Dorset', 'GPE')]"
You may want to consider Leicestershire,Leicestershire,general,1,,,0,  You may want to consider LOCATION1,"[('Leicestershire', 'GPE')]"
You will not find anywhere near London much cheaper than Cheshire,Cheshire,price,1,,,0,  You will not find anywhere near London much cheaper than LOCATION1,"[('London', 'GPE'), ('Cheshire', 'GPE')]"
area around West Sussex in very multicultural and it is a very busy area,West Sussex,quiet,0,West Sussex,multicultural,1,  area around LOCATION1 in very multi-cultural and it is a very busy area,"[('West Sussex', 'GPE')]"
depends how much money you have to spend but avoid most of the Durhambad transport and alot trouble,Durham,safety,0,Durham,transit-location,0,"  depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble","[('Durhambad', 'GPE')]"
i come from same area as david and have to agree if going to live in suburbia then Herefordshire area is good but EXPENSIVE,Herefordshire,general,1,Herefordshire,price,0,  i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE,"[('Herefordshire', 'GPE')]"
i live in West Midlands which is in north west extended London it is great because its not to busy and its not to expensive ether,West Midlands,price,1,West Midlands,quiet,1,"  i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether","[('West Midlands', 'GPE')]"
just dont live in Cambridgeshire you will regret it,Cambridgeshire,live,0,,,0,"  just dont live in LOCATION1, you'll regret it","[('Cambridgeshire', 'GPE')]"
just go to North Yorkshire and you will be in the centre of London,North Yorkshire,transit-location,1,,,0,  just go to LOCATION1 and you'll be in the centre of London,"[('North Yorkshire', 'GPE'), ('London', 'GPE')]"
really nice area is Bristol or Gloucestershire,Gloucestershire,general,1,Bristol,general,1,  really nice area is LOCATION2 or LOCATION1,"[('Bristol', 'GPE'), ('Gloucestershire', 'GPE')]"
try somewhere round Greater Manchester,Greater Manchester,general,1,,,0,  try somewhere round LOCATION1,"[('Greater Manchester', 'GPE')]"
Tyne and WearWest Midlands is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,Tyne and Wear,general,1,West Midlands,dining,1, (LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,"[('Tyne and WearWest Midlands', 'GPE')]"
try Lincolnshire if you have not already seen it,Lincolnshire,general,1,,,0," (try LOCATION1, if you haven't already seen it","[('Lincolnshire', 'GPE')]"
 Derbyshire and Kent might be good for you,Kent,general,1,Derbyshire,general,1," , LOCATION2 and LOCATION1 might be good for you","[('Derbyshire', 'GPE')]"
Areas like Lancashire and Lincolnshire are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,Lincolnshire,price,1,Lincolnshire,safety,1, Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,"[('Lancashire', 'GPE'), ('Lincolnshire', 'GPE')]"
Areas such as South Yorkshire and Oxfordshire are near the MI and either tube lines and are very nice areas semirural in parts,South Yorkshire,general,1,South Yorkshire,transit-location,1," Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts","[('South Yorkshire', 'GPE'), ('Oxfordshire', 'GPE')]"
As long as you can afford to live in Somerset its way nicer ,Somerset,general,1,Somerset,price,0," As long as you can afford to live in LOCATION1, it's way nicer (:","[('Somerset', 'GPE')]"
Avoid Wiltshire  its super pricey,Wiltshire,general,0,Wiltshire,price,0, Avoid LOCATION1 - it's super pricey,"[('Wiltshire', 'GPE')]"
Avoid Derbyshire  nice place to go out but its a bit rough highest assault rate in London,Derbyshire,general,0,Derbyshire,safety,0, Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London),"[('Derbyshire', 'GPE')]"
Crossrail mainline link between Cambridgeshire central London and north Kent,Cambridgeshire,transit-location,1,,,0," Crossrail mainline link between LOCATION1, central London and north Kent","[('Crossrail', 'GPE'), ('Cambridgeshire', 'GPE'), ('London', 'GPE'), ('Kent', 'GPE')]"
For the most part Greater London is a nice area,Greater London,general,1,,,0," For the most part, LOCATION1 is a nice area","[('Greater London', 'GPE')]"
Getting to the London from West Midlands is easy  buses go every few minutes,West Midlands,transit-location,1,,,0," Getting to the London from LOCATION1 is easy , buses go every few minutes","[('Getting', 'GPE'), ('West Midlands', 'GPE')]"
Hmm East Riding of Yorkshire and Warwickshire are improving areas,Warwickshire,general,1,East Riding of Yorkshire,general,1, Hmm LOCATION1 and LOCATION2 are improving areas,"[('East Riding of Yorkshire', 'GPE'), ('Warwickshire', 'GPE')]"
However you are unlikely to find anything decent and cheap in Shropshire,Shropshire,price,0,,,0, However you're unlikely to find anything decent and cheap in LOCATION1 ,"[('Shropshire', 'GPE')]"
I Live in Nottinghamshire which is close to the center of town and is very nice in my opinion,Nottinghamshire,general,1,Nottinghamshire,transit-location,1, I Live in LOCATION1 which is close to the center of town and is very nice in my opinion,"[('Nottinghamshire', 'GPE')]"
I also like Devon and Cambridgeshire for going out,Devon,nightlife,1,Cambridgeshire,nightlife,1, I also like LOCATION1 and LOCATION2 for going out,"[('Devon', 'GPE'), ('Cambridgeshire', 'GPE')]"
I cannot understand the thumbs down for Somerset that area is having lots of money thrown at it right now,Somerset,general,1,,,0," I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now","[('Somerset', 'GPE')]"
I currently live in a very street depressing hood area of Lincolnshire,Lincolnshire,live,0,Lincolnshire,general,0," I currently live in a very street, depressing, hood area of LOCATION1","[('Lincolnshire', 'GPE')]"
I do love Hertfordshire but unfortunately due to the increase in rent I will moving further out,Hertfordshire,price,0,Hertfordshire,general,1, I do love LOCATION1 but unfortunately due to the increase in rent I will moving further out,"[('Hertfordshire', 'GPE')]"
I do not know Dorset but Hampshire is one of the nicest areas of London,Hampshire,general,1,,,0, I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,"[('Dorset', 'GPE'), ('Hampshire', 'GPE')]"
I feel safer in Bedfordshire than I do in Bedfordshire,Bedfordshire,safety,1,,,0, I feel safer in LOCATION1 than I do in LOCATION2,"[('Bedfordshire', 'GPE'), ('Bedfordshire', 'GPE')]"
I feel that the South Yorkshire area is pretty safe I have lived in E9 Tyne and Wear and loved it,Tyne and Wear,general,1,South Yorkshire,safety,1, I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it ,"[('South Yorkshire', 'GPE'), ('Tyne and Wear', 'GPE')]"
I got my flat broken into in Northumberland but never in West Midlands area,West Midlands,safety,1,Northumberland,safety,0, I got my flat broken into in LOCATION1 but never in LOCATION2 area,"[('Northumberland', 'GPE'), ('West Midlands', 'GPE')]"
I have heard from some friends that Hertfordshire and places nearby are quite dangerous to live in due to the high criminal cases,Hertfordshire,safety,0,,,0, I have heard from some friends that LOCATION1 and places nearby are quite dangerous to live in due to the high criminal cases,"[('Hertfordshire', 'GPE')]"
I have lived in Buckinghamshire for 25 years and its now one the most safest places to live,Buckinghamshire,safety,1,,,0, I have lived in LOCATION1 for 25 years and it's now one the most safest places to live,"[('Buckinghamshire', 'GPE')]"
I have personally had no major problems while in Cheshire,Cheshire,safety,1,,,0, I have personally had no major problems while in LOCATION1,"[('Cheshire', 'GPE')]"
I just know that I definitely do not want to live in Northamptonshire as its the most dangerous,Northamptonshire,safety,0,Northamptonshire,live,0, I just know that I definitely don't want to live in LOCATION1 as it's the most dangerous  ,"[('Northamptonshire', 'GPE')]"
I know East Sussex well Im afraid I would not choose to live there either,East Sussex,live,0,,,0," I know LOCATION1 well, I'm afraid I wouldn't choose to live there either ","[('East Sussex', 'GPE')]"
I live in Warwickshire and cannot even walk across the road to the shop without feeling overly warey,Warwickshire,safety,0,,,0, I live in LOCATION1 and can't even walk across the road to the shop without feeling overly warey  ,"[('Warwickshire', 'GPE')]"
I live in Dorset but Ive been here seven years and never had a minutes trouble,Dorset,safety,1,,,0, I live in LOCATION1 but I've been here seven years and never had a minute's trouble,"[('Dorset', 'GPE')]"
I live in Shropshire which is quite boring,Shropshire,live,0,,,0, I live in LOCATION1 which is quite boring ,"[('Shropshire', 'GPE')]"
I live in Hampshire and I love it Oxfordshire just stay away from Oxfordshire lol,Oxfordshire,general,0,Hampshire,live,1, I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol,"[('Hampshire', 'GPE'), ('Oxfordshire', 'GPE'), ('Oxfordshire', 'GPE')]"
I live in East Sussex but Id rather live in Devon,Devon,live,1,,,0, I live in LOCATION2 but Id rather live in LOCATION1  ,"[('East Sussex', 'GPE'), ('Devon', 'GPE')]"
I must say Cumbria is one of my favorite places and i would love to live there,Cumbria,general,1,Cumbria,live,1, I must say LOCATION1 is one of my favorite places and i'd love to live there,"[('Cumbria', 'GPE')]"
I prefer to live in an area where there are more English people like where I live now in Northamptonshire or where there are a variety of different cultures like West Sussex,Northamptonshire,multicultural,0,West Sussex,multicultural,1, I prefer to live in an area where there are more English people (like where I live now in LOCATION2) or where there are a variety of different cultures (like LOCATION1),"[('Northamptonshire', 'GPE'), ('West Sussex', 'GPE')]"
I recommend Merseyside or perhaps Cumbria,Cumbria,general,1,Merseyside,general,1, I recommend LOCATION1 or perhaps LOCATION2,"[('Merseyside', 'GPE'), ('Cumbria', 'GPE')]"
I spent a semester abroad in Lincolnshire right around the imperial college I would imagine that area would be greatly expensive but it was a great place to live,Lincolnshire,live,1,Lincolnshire,price,0, I spent a semester abroad in LOCATION1 right around the imperial college I would imagine that area would be greatly expensive but it was a great place to live  ,"[('Lincolnshire', 'GPE')]"
I sure as hell would not wanna be stuck in a shithole like bloody Somerset,Somerset,general,0,,,0, I sure as hell wouldn't wanna be stuck in a shithole like bloody LOCATION1,"[('Somerset', 'GPE')]"
I think Durham gets a raw deal because its close to some dodgy areas like Greater London but actually its alright a bit of a hidden gem in fact,Durham,general,1,Greater London,safety,0," I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact","[('Durham', 'GPE'), ('Greater London', 'GPE')]"
I think West Midlands is a pretty good place to live and you are unlikely to have any problems Im living in Derbyshire yeah its a safe area,Derbyshire,safety,1,West Midlands,safety,1," I think LOCATION2 is a pretty good place to live and you're unlikely to have any problems I'm living in LOCATION1, yeah it's a safe area, ","[('West Midlands', 'GPE'), ('Derbyshire', 'GPE')]"
I think the farthest out in essex to be close to London would be Kent,Kent,transit-location,1,,,0, I think the farthest out in essex to be close to London would be LOCATION1,"[('Kent', 'GPE')]"
I used to live in a rented appartment in Norfolk during my rocking days and links into the centre are fast and frequent by tube underground railway,Norfolk,transit-location,1,,,0," I used to live in a rented appartment in LOCATION1 during my ""rocking days"" and links into the centre are fast and frequent by tube ""underground railway""",[]
I will recommend to you areas like Suffolk West Sussex they have a high Asian population and it is fairly affordable to live there,Suffolk,price,1,Suffolk,multicultural,1," I will recommend to you areas like LOCATION1, LOCATION2, they have a high Asian population and it is fairly affordable to live there","[('West Sussex', 'GPE')]"
I would hardly call Herefordshire or Wiltshire rough Well in all honestly there are rough parts in every area in London,Herefordshire,safety,1,Wiltshire,safety,1," I would hardly call LOCATION1 or LOCATION2 rough  Well, in all honestly there are ""rough"" parts in every area in London","[('Herefordshire', 'GPE'), ('London', 'GPE')]"
I would never want to live somewhere like Surrey or anywhere in Durham as I would never get any sleep,Surrey,live,0,Durham,quiet,0, I would never want to live somewhere like LOCATION1 or anywhere in LOCATION2 as I would never get any sleep,"[('Surrey', 'GPE'), ('Durham', 'GPE')]"
I would pick Bedfordshire as it is the furthest in the center giving you so much things to do,Bedfordshire,transit-location,1,,,0, I would pick LOCATION1 as it is the furthest in the center giving you so much things to do,"[('Bedfordshire', 'GPE')]"
I would really recommend Dorset,Dorset,general,1,,,0, I would really recommend LOCATION1,"[('Dorset', 'GPE')]"
I would say Cheshire but it may exceed your budget by a little but it is worth the move,Cheshire,general,1,Cheshire,price,0, I would say LOCATION1 but it may exceed your budget by a little but it is worth the move,"[('Cheshire', 'GPE')]"
I would say with the massive increase in supply around the area and the amount of security they have West Yorkshire is your best bet Dont waste your money,West Yorkshire,general,1,,,0," I would say with the massive increase in supply around the area, and the amount of security they have LOCATION1 is your best bet  Don't waste your money","[('West Yorkshire', 'GPE')]"
I would stay away from Devon and Warwickshire areas as many parts are very run down and deprived,Warwickshire,general,0,Devon,general,0, I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived,"[('Devon', 'GPE'), ('Warwickshire', 'GPE')]"
I would strongly recommend flats in the Leicestershire as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well,Leicestershire,general,1,,,0, I would strongly recommend flats in the LOCATION1 as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well  ,"[('Leicestershire', 'GPE')]"
