created_at,date,place,tweet,language,hashtags,location
2021-07-23 12:59:38 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3702157, 4.8951679]}","Click the link in our bio to see currently open #BusinessMgmt jobs like ""Director, Market Product &amp; Integration Lead, Identity Verification"" at Mastercard in #Amsterdam.",en,"['businessmgmt', 'amsterdam']",Amsterdam
2021-07-23 12:45:01 EET,2021-07-23,"{'type': 'Point', 'coordinates': [-8.03638889, -34.90472222]}","Reposted from  @nature  Wait for it! 😳😍 How cool is this photography tip? 📸  📽 @maartjehensen 📍Amsterdam, Netherlands em Parque da Jaqueira  https://t.co/FBIKZleUvG",en,[],Amsterdam
2021-07-23 12:05:56 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3769, 4.8982]}","My new work buddies are disruptive as hell. Real friendly tho   #catlife @ Amsterdam, Netherlands  https://t.co/QJSZCwVCav",en,['catlife'],Amsterdam
2021-07-23 11:37:24 EET,2021-07-23,"{'type': 'Point', 'coordinates': [50.90026594, 4.48372721]}",Pickup an AOG at Brussels airport. This time with radioactivity shipment class 7. #zaventem #brusselsairport #brussels #amsterdam @tuibelgium #schiphol #transport #aog #dangerousgoods #adr #class7 @ Brussels Airport  https://t.co/VtcM2PgFF2,en,"['zaventem', 'brusselsairport', 'brussels', 'amsterdam', 'schiphol', 'transport', 'aog', 'dangerousgoods', 'adr', 'class7']",Amsterdam
2021-07-23 11:31:04 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3702157, 4.8951679]}","Don't be shy. Score a job like ""Business Development Manager France/Benelux"" at Coyote Logistics by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Sales #Amsterdam, NH",en,"['sales', 'amsterdam']",Amsterdam
2021-07-23 11:02:51 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Updated: Construction on #ALine NB from 135 St to 163 St - Amsterdam Av  https://t.co/3ov87mJJez,en,['aline'],Amsterdam
2021-07-23 11:02:44 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Updated: Construction on #ALine NB from 135 St to 163 St - Amsterdam Av  https://t.co/ThP5rpfplT,en,['aline'],Amsterdam
2021-07-23 11:00:50 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Cleared: Construction on #ALine NB from 135 St to 163 St - Amsterdam Av,en,['aline'],Amsterdam
2021-07-23 11:00:48 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Cleared: Construction on #ALine NB from 135 St to 163 St - Amsterdam Av,en,['aline'],Amsterdam
2021-07-23 10:45:43 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.84655, -73.93204]}",Lane closures removed in #HudsonRiverCrossingsGwbUpperUnderTheApartments on The G.W.B. Upper Level Outbound between The Harlem River Drive/Amsterdam Ave and The Tolls #traffic  https://t.co/cLJ9IKsg5n,en,"['hudsonrivercrossingsgwbupperundertheapartments', 'traffic']",Amsterdam
2021-07-23 09:47:56 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3661, 4.8931]}","A delicious Friday breakfast of simple banana, red plum and rhubarb with lean cottage cheese. And a cup of good black coffee with a bit of chocolate flavour. Bon appétit. @ Amsterdam Centrum, Noord-Holland, Netherlands  https://t.co/GRSjpUDhKS",en,[],Amsterdam
2021-07-23 09:14:47 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3769, 4.8982]}","Hosted another fun session for the @smexaminer society this week! This time about top tricks for viral videos you see on Instagram and Tiktok 🙌 @ Amsterdam, Netherlands  https://t.co/0MsoNnPIJf",en,[],Amsterdam
2021-07-23 06:04:47 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.848237, -73.931]}",Construction on #LTDBus at W 181 St/Amsterdam Av  https://t.co/DRbRPQ1lsq,en,['ltdbus'],Amsterdam
2021-07-23 06:04:47 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.848237, -73.931]}",Construction on #Bx36bx36Bus at W 181 St/Amsterdam Av  https://t.co/DRbRPQ1lsq,en,['bx36bx36bus'],Amsterdam
2021-07-23 06:04:46 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.848237, -73.931]}",Construction on #Bx35Bus at W 181 St/Amsterdam Av  https://t.co/DRbRPQ1lsq,en,['bx35bus'],Amsterdam
2021-07-23 06:04:46 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.848237, -73.931]}",Construction on #Bx13Bus at W 181 St/Amsterdam Av  https://t.co/DRbRPQ1lsq,en,['bx13bus'],Amsterdam
2021-07-23 06:04:43 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.848237, -73.931]}",Construction on #Bx11Bus WB at W 181 St/Amsterdam Av  https://t.co/DRbRPQ1lsq,en,['bx11bus'],Amsterdam
2021-07-23 05:47:02 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3731, 4.8922]}","Good morning, Amsterdam! :) #Sunrise 05:47, noon 13:47, sunset 21:46 CEST (UTC+2), July 23. Day length: 15h 59m.",en,['sunrise'],Amsterdam
2021-07-23 05:34:27 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Updated: Construction on #CLine NB from 135 St to 163 St - Amsterdam Av  https://t.co/x7kx0oS3NO,en,['cline'],Amsterdam
2021-07-23 05:34:27 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Updated: Construction on #CLine NB from 135 St to 163 St - Amsterdam Av  https://t.co/jpipTEqtZn,en,['cline'],Amsterdam
2021-07-23 05:30:31 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Cleared: Construction on #CLine NB from 135 St to 163 St - Amsterdam Av,en,['cline'],Amsterdam
2021-07-23 05:30:30 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Cleared: Construction on #CLine NB from 135 St to 163 St - Amsterdam Av,en,['cline'],Amsterdam
2021-07-23 05:00:46 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Construction on #ALine NB from 135 St to 163 St - Amsterdam Av  https://t.co/ijB41PQLkS,en,['aline'],Amsterdam
2021-07-23 03:48:38 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.817894, -73.947649]}",Construction on #CLine NB from 135 St to 163 St - Amsterdam Av  https://t.co/VP44aP1qGn,en,['cline'],Amsterdam
2021-07-23 02:10:13 EET,2021-07-23,"{'type': 'Point', 'coordinates': [44.9774, -93.2645]}","Made some beats in Amsterdam this morning. Too bad I only got to see the airport x) @ Minneapolis, Minnesota  https://t.co/IS7Nj28zrQ",en,[],Amsterdam
2021-07-23 01:28:04 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.75584402, -73.98832119]}","In the words of Magoo, “it’s great to be back back back on Broadway!” Thank u @tdfnyc #disneyonbroadway #LiveattheNewAm (@ New Amsterdam Theater in New York, NY)  https://t.co/sdKQpPJ8IW  https://t.co/go6YLE647A",en,"['disneyonbroadway', 'liveatthenewam']",Amsterdam
2021-07-23 00:56:36 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.75584402, -73.98832119]}","I'm at New Amsterdam Theater in New York, NY  https://t.co/NfKx7OXM6z",en,[],Amsterdam
2021-07-22 23:40:32 EET,2021-07-22,"{'type': 'Point', 'coordinates': [42.9377453, -74.190356]}","Come join our Adecco team at Adecco. Apply now.  https://t.co/hupt2hbFex #Amsterdam, NY #Warehouse",en,"['amsterdam', 'warehouse']",Amsterdam
2021-07-22 23:29:45 EET,2021-07-22,"{'type': 'Point', 'coordinates': [40.7814, -73.97983]}",Join me in the pressing of the cold beer to the forehead! #jacksabby #houselager @ Amsterdam Ale House  https://t.co/S3VLVfSliw,en,"['jacksabby', 'houselager']",Amsterdam
2021-07-22 23:23:59 EET,2021-07-22,"{'type': 'Point', 'coordinates': [42.9374279, -74.2683249]}","Don't be shy. Score a job like ""GENERAL WAREHOUSE - PT AMSTERDAM NY"" at Dollar General Distribution Center by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #warehouse #Amsterdam, NY",en,"['warehouse', 'amsterdam']",Amsterdam
2021-07-22 22:20:12 EET,2021-07-22,"{'type': 'Point', 'coordinates': [52.3769, 4.8982]}","Just posted a video @ Amsterdam, Netherlands  https://t.co/FmcMAUrMm0",en,[],Amsterdam
2021-07-23 16:46:35 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.518391, 13.401251]}","@akronym_collective podcast episode 006 ⛓ Available now on our SoundCloud and YouTube. (link in bio) 📲  📷 @perspectivademadu em Berlin, Germany  https://t.co/2kgai6xcUs",en,[],Berlin
2021-07-23 16:44:19 EET,2021-07-23,"{'type': 'Point', 'coordinates': [44.2152614, -72.5861615]}","Want to land a job like ""AOT Technician VI - eConstruction Section"" at State of Vermont? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Transportation #Berlin, VT",en,"['transportation', 'berlin']",Berlin
2021-07-23 15:51:06 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.51446948, 13.38959746]}",I'm at Galeries @LafayetteBerlin in Berlin  https://t.co/zptZfFjgRc,en,[],Berlin
2021-07-23 15:50:55 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.51438465, 13.38956909]}",I'm at Lafayette Gourmet in Berlin  https://t.co/nTnnxLjNXF,en,[],Berlin
2021-07-23 15:47:37 EET,2021-07-23,"{'type': 'Point', 'coordinates': [20.99538207, -86.76079918]}",Journey Riviera Maya rainy day in Berlin by Anka Zhuravleva  https://t.co/707zaALNXd Shuttle &amp; Tours  https://t.co/9dovrgWBca,en,[],Berlin
2021-07-23 15:39:24 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.518391, 13.401251]}","Just posted a photo @ Berlin, Germany  https://t.co/OFPrE2irlx",en,[],Berlin
2021-07-23 15:38:47 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.518391, 13.401251]}","Just posted a photo @ Berlin, Germany  https://t.co/hMMKk2Pzdo",en,[],Berlin
2021-07-23 15:25:33 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.5200066, 13.404954]}","Want to work at Emerson Electric Co? We're hiring in #Berlin, Berlin! Click the link in our bio for details on this job and more: Trade Compliance Expert #SkilledTrade",en,"['berlin', 'skilledtrade']",Berlin
2021-07-23 15:00:44 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.51823172, 13.40233326]}",I'm at Mitte in Berlin  https://t.co/dULBFisCum,en,[],Berlin
2021-07-23 14:54:03 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.502759, 13.4188459]}",(Senior) PR Manager*in (m/w/d) in #Berlin (Fest) #muxmäuschenwild #dasauge #jobs →  https://t.co/se54KHwNj5,en,"['berlin', 'muxmäuschenwild', 'dasauge', 'jobs']",Berlin
2021-07-23 14:17:29 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.52826, 13.4099299]}",Vans Vault x Bedwin &amp; The Heartbreakers launching online and in-store at Firmament Sa 24 July 2021.  #Vans #VansVault #bedwinandtheheartbreakers @ Firmament  https://t.co/r6wm9gksWC,en,"['vans', 'vansvault', 'bedwinandtheheartbreakers']",Berlin
2021-07-23 13:54:42 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.51167983, 13.38383637]}",I'm at Hit Ullrich in Berlin  https://t.co/VUm9MkNyTs,en,[],Berlin
2021-07-23 13:51:18 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.381905, 13.1199934]}",#nowplaying #Lasgo ~ Lasgo | Something ||| #bbradio #rocks #berlin,en,"['nowplaying', 'lasgo', 'bbradio', 'rocks', 'berlin']",Berlin
2021-07-23 13:39:07 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.381905, 13.1199934]}",#nowplaying #MichaelPatrickKelly ~ Michael Patrick Kelly | Beautiful Madness ||| #bbradio #rockt #berlin,en,"['nowplaying', 'michaelpatrickkelly', 'bbradio', 'rockt', 'berlin']",Berlin
2021-07-23 13:37:25 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.5200066, 13.404954]}","If you're looking for work in Berlin, Berlin, Germany, check out this #Marketing job via the link in our bio: Oncology Companion Diagnostics (NGS) Business Development Europe (mfd) at Thermo Fisher Scientific #oncology",en,"['marketing', 'oncology']",Berlin
2021-07-23 13:19:52 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.5200066, 13.404954]}","Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Sales Representative Materials Characterization, Rheology &amp; Extrusion"" in #Berlin, Berlin. #Sales",en,"['berlin', 'sales']",Berlin
2021-07-23 12:50:30 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.518391, 13.401251]}","MY SKY - out now! @ Berlin, Germany  https://t.co/XtSC6LITAP",en,[],Berlin
2021-07-23 12:48:26 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.381905, 13.1199934]}",#nowplaying #DepecheMode ~ Depeche Mode | Just Can't Get Enough ||| BB RADIO - In #Berlin #GER auf 107.5,en,"['nowplaying', 'depechemode', 'berlin', 'ger']",Berlin
2021-07-23 12:46:48 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.518391, 13.401251]}","Just posted a photo @ Berlin, Germany  https://t.co/CmiBx2k1Wk",en,[],Berlin
2021-07-23 12:41:58 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.381905, 13.1199934]}",#nowplaying #Pink ~ Pink | All I Know So Far ||| Radio TEDDY - In #Berlin auf 90.2,en,"['nowplaying', 'pink', 'berlin']",Berlin
2021-07-23 16:56:29 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.5206608, -86.80249]}","Want to work at Deloitte? We're hiring in #Birmingham, AL! Click the link in our bio for details on this job and more: Monetization Audit &amp; Assurance Manager #Accounting",en,"['birmingham', 'accounting']",Birmingham
2021-07-23 16:53:09 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.586822, -86.7718017]}","Want to land a job like ""Outside Sales Rep"" at United Rentals? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Sales #Birmingham, AL",en,"['sales', 'birmingham']",Birmingham
2021-07-23 16:50:10 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.408215, -1.962611]}","Don't be shy. Score a job like ""Shift Supervisor - Store# 47190, Brimingham Northfield Drive Th"" at Starbucks by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Retail #Birmingham",en,"['retail', 'birmingham']",Birmingham
2021-07-23 16:42:52 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.515462, -86.821045]}","Join the Hospital Medicine Associates LLC team! Our latest job opening:  https://t.co/Txn5jGLk2p Birmingham, AL Internistsjobs",en,[],Birmingham
2021-07-23 16:34:33 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.45560956, -1.90375854]}","#Hundred (at @Edgbaston Cricket Ground in Birmingham, West Midlands)  https://t.co/L0zke3Iwn7  https://t.co/Yimw4BVA3L",en,['hundred'],Birmingham
2021-07-23 16:24:30 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/ouZcltg8Ai",en,[],Birmingham
2021-07-23 16:05:22 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.5206608, -86.80249]}","This job might be a great fit for you: GROCERY RETAIL RESET SPECIALIST-HOME STORE/ISE FULL TIME -  https://t.co/4e9J6B7Dkf #Birmingham, AL #Merchandiser",en,"['birmingham', 'merchandiser']",Birmingham
2021-07-23 15:55:19 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.5206608, -86.80249]}","Don't submit then quit. Apply for jobs like ""Exchange / O365 Customer Engineer"" at JDA TSG, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #IT #Birmingham, AL",en,"['it', 'birmingham']",Birmingham
2021-07-23 15:47:04 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.48416375, -1.89943716]}",Give Jeff a fitting send-off  https://t.co/EvEhxkZ1nd  https://t.co/qngLHWuV0Q,en,[],Birmingham
2021-07-23 15:42:02 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/DA0h5RYtPw",en,[],Birmingham
2021-07-23 15:39:50 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Where are ya m8? 😅📲 #IllBe10MinsBro @ Birmingham, United Kingdom  https://t.co/FttY2BeJem",en,['illbe10minsbro'],Birmingham
2021-07-23 15:26:29 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.52712256, -1.81058432]}","I'm at Pype Hayes Car Park in Birmingham, West Midlands  https://t.co/B5nhQwA4xj",en,[],Birmingham
2021-07-23 15:24:54 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.5278483, -1.80654855]}","I'm at Pype Hayes Park &amp; Gardens in Birmingham, West Midlands  https://t.co/UnA06blSqf",en,[],Birmingham
2021-07-23 15:15:51 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.5178769, -86.8094808]}","The Stepping Stones Group is looking for teammates like you. See our latest #Education job openings, including ""American Sign Language Interpreter (ASL)"", via the link in our bio. #Birmingham, AL",en,"['education', 'birmingham']",Birmingham
2021-07-23 14:35:44 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.5164, -86.8135]}","So much fun @after7music ✨ Love you💖 @misskeshiap  #birminghamalabama  #goodmusic #20years  #sisters #💖 @ Birmingham, Alabama  https://t.co/IuP1O7nbVg",en,"['birminghamalabama', 'goodmusic', '20years', 'sisters']",Birmingham
2021-07-23 14:30:28 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/Rd2QxgIKBE",en,[],Birmingham
2021-07-23 14:05:51 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Someone’s future husband💈🍷  #explorepage #explore @ Birmingham, United Kingdom  https://t.co/QCaIhbytSY",en,"['explorepage', 'explore']",Birmingham
2021-07-23 13:51:19 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/BpzE9tFj4Z",en,[],Birmingham
2021-07-23 13:10:51 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.51438706, -1.8288322]}","I'm at Bromford Chippy in Birmingham, England  https://t.co/4TBz85brau",en,[],Birmingham
2021-07-23 12:21:37 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/c8r2W5tNT0",en,[],Birmingham
2021-07-23 12:03:08 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","😬😬😬😒 @ Birmingham, United Kingdom  https://t.co/v7TGb1KTiO",en,[],Birmingham
2021-07-23 11:11:34 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/LfDdSTSKWa",en,[],Birmingham
2021-07-23 10:37:21 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.5446324, -86.78048568]}","I'm at W.C. Patton Park in Birmingham, AL  https://t.co/ik4JCJJkrb",en,[],Birmingham
2021-07-23 09:47:47 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","A stroll along Birminghams Canals @ Birmingham, United Kingdom  https://t.co/PPI7gpBnzz",en,[],Birmingham
2021-07-23 09:46:13 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/tQVRIE0r5n",en,[],Birmingham
2021-07-23 09:46:07 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.47860143, -1.9127192]}",Starting the day right! @ Birmingham Canals  https://t.co/xcdO2mRQ8M,en,[],Birmingham
2021-07-23 09:39:03 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.48416375, -1.89943716]}",Holly Willoughby calls Bradley Walsh a 'nightmare'- ahead of new BBC show  https://t.co/uGC1nFBAFA  https://t.co/WA3nRcYRwS,en,[],Birmingham
2021-07-23 09:38:43 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/SeUc7GuNSn",en,[],Birmingham
2021-07-23 09:32:16 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/599oO88F9v",en,[],Birmingham
2021-07-23 09:28:34 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/N9uEKItzDd",en,[],Birmingham
2021-07-23 09:15:28 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/laN9YyiIUI",en,[],Birmingham
2021-07-23 09:11:19 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/y82BqHyaYl",en,[],Birmingham
2021-07-23 09:10:56 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/xuKEsgVP4m",en,[],Birmingham
2021-07-23 09:10:48 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/nlqD5OCwcC",en,[],Birmingham
2021-07-23 09:10:20 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/3zocxCq2DV",en,[],Birmingham
2021-07-23 08:57:09 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/FXv07hS8RP",en,[],Birmingham
2021-07-23 08:51:35 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/ivyud2yiq6",en,[],Birmingham
2021-07-23 08:32:07 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a video @ Birmingham, United Kingdom  https://t.co/tLC1kbQ4xU",en,[],Birmingham
2021-07-23 08:25:19 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.4806, -1.8987]}","Just posted a photo @ Birmingham, United Kingdom  https://t.co/AoH5KGmmD0",en,[],Birmingham
2021-07-23 07:26:30 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.3765587, -86.7996404]}",So much tonight @after7music ✨ Love you💖 @misskeshiap 💖 #20yearsorbetter #birmingham  #music #sofun #💖 @ StarDome  https://t.co/rSMdUoeyvc,en,"['20yearsorbetter', 'birmingham', 'music', 'sofun']",Birmingham
2021-07-23 03:49:48 EET,2021-07-23,"{'type': 'Point', 'coordinates': [42.53145216, -83.19878508]}","Had to 🍦 (@ The Custard Cup in Birmingham, MI)  https://t.co/VObshoUAjq  https://t.co/zGCHncoEFy",en,[],Birmingham
2021-07-23 02:59:54 EET,2021-07-23,"{'type': 'Point', 'coordinates': [33.3308681, -86.8548141]}",🏆 Congratulations to Carolina Elite - Adams! adidas Girls 3SSB/Gold Championships - Birmingham Gold 17U (Round 1 Loser's Bracket) Champions @exposurebball,en,[],Birmingham
